EQUIPMENTID,LANE_BUNDLE_DIRECTION,AGG_PERIOD_START,TOTAL_VOLUME
121725,C,01/01/2015 00:00,650
121725,C,01/01/2015 01:00,1027
121725,C,01/01/2015 02:00,733
121725,C,01/01/2015 03:00,528
121725,C,01/01/2015 04:00,419
121725,C,01/01/2015 05:00,288
121725,C,01/01/2015 06:00,232
121725,C,01/01/2015 07:00,295
121725,C,01/01/2015 08:00,222
121725,C,01/01/2015 09:00,220
121725,C,01/01/2015 10:00,368
121725,C,01/01/2015 11:00,597
121725,C,01/01/2015 12:00,1011
121725,C,01/01/2015 13:00,1101
121725,C,01/01/2015 14:00,1003
121725,C,01/01/2015 15:00,1340
121725,C,01/01/2015 16:00,1341
121725,C,01/01/2015 17:00,1317
121725,C,01/01/2015 18:00,1209
121725,C,01/01/2015 19:00,1054
121725,C,01/01/2015 20:00,989
121725,C,01/01/2015 21:00,944
121725,C,01/01/2015 22:00,748
121725,C,01/01/2015 23:00,519
121725,D,01/01/2015 00:00,596
121725,D,01/01/2015 01:00,972
121725,D,01/01/2015 02:00,729
121725,D,01/01/2015 03:00,568
121725,D,01/01/2015 04:00,439
121725,D,01/01/2015 05:00,385
121725,D,01/01/2015 06:00,286
121725,D,01/01/2015 07:00,302
121725,D,01/01/2015 08:00,287
121725,D,01/01/2015 09:00,323
121725,D,01/01/2015 10:00,456
121725,D,01/01/2015 11:00,801
121725,D,01/01/2015 12:00,1346
121725,D,01/01/2015 13:00,1164
121725,D,01/01/2015 14:00,896
121725,D,01/01/2015 15:00,1068
121725,D,01/01/2015 16:00,1408
121725,D,01/01/2015 17:00,1490
121725,D,01/01/2015 18:00,1468
121725,D,01/01/2015 19:00,1127
121725,D,01/01/2015 20:00,826
121725,D,01/01/2015 21:00,821
121725,D,01/01/2015 22:00,714
121725,D,01/01/2015 23:00,539
121727,C,01/01/2015 00:00,1043
121727,C,01/01/2015 01:00,1835
121727,C,01/01/2015 02:00,1224
121727,C,01/01/2015 03:00,923
121727,C,01/01/2015 04:00,756
121727,C,01/01/2015 05:00,511
121727,C,01/01/2015 06:00,404
121727,C,01/01/2015 07:00,523
121727,C,01/01/2015 08:00,373
121727,C,01/01/2015 09:00,403
121727,C,01/01/2015 10:00,620
121727,C,01/01/2015 11:00,1026
121727,C,01/01/2015 12:00,1731
121727,C,01/01/2015 13:00,2037
121727,C,01/01/2015 14:00,1537
121727,C,01/01/2015 15:00,2030
121727,C,01/01/2015 16:00,2359
121727,C,01/01/2015 17:00,2418
121727,C,01/01/2015 18:00,2171
121727,C,01/01/2015 19:00,1805
121727,C,01/01/2015 20:00,1579
121727,C,01/01/2015 21:00,1541
121727,C,01/01/2015 22:00,1219
121727,C,01/01/2015 23:00,860
121727,D,01/01/2015 00:00,1098
121727,D,01/01/2015 01:00,1888
121727,D,01/01/2015 02:00,1465
121727,D,01/01/2015 03:00,1080
121727,D,01/01/2015 04:00,846
121727,D,01/01/2015 05:00,676
121727,D,01/01/2015 06:00,541
121727,D,01/01/2015 07:00,486
121727,D,01/01/2015 08:00,474
121727,D,01/01/2015 09:00,477
121727,D,01/01/2015 10:00,637
121727,D,01/01/2015 11:00,1168
121727,D,01/01/2015 12:00,1923
121727,D,01/01/2015 13:00,1888
121727,D,01/01/2015 14:00,1496
121727,D,01/01/2015 15:00,1827
121727,D,01/01/2015 16:00,2319
121727,D,01/01/2015 17:00,2338
121727,D,01/01/2015 18:00,2279
121727,D,01/01/2015 19:00,1876
121727,D,01/01/2015 20:00,1547
121727,D,01/01/2015 21:00,1397
121727,D,01/01/2015 22:00,1252
121727,D,01/01/2015 23:00,960
121729,C,01/01/2015 00:00,221
121729,C,01/01/2015 01:00,314
121729,C,01/01/2015 02:00,246
121729,C,01/01/2015 03:00,193
121729,C,01/01/2015 04:00,146
121729,C,01/01/2015 05:00,114
121729,C,01/01/2015 06:00,80
121729,C,01/01/2015 07:00,138
121729,C,01/01/2015 08:00,113
121729,C,01/01/2015 09:00,110
121729,C,01/01/2015 10:00,205
121729,C,01/01/2015 11:00,335
121729,C,01/01/2015 12:00,564
121729,C,01/01/2015 13:00,576
121729,C,01/01/2015 14:00,737
121729,C,01/01/2015 15:00,766
121729,C,01/01/2015 16:00,869
121729,C,01/01/2015 17:00,845
121729,C,01/01/2015 18:00,812
121729,C,01/01/2015 19:00,667
121729,C,01/01/2015 20:00,530
121729,C,01/01/2015 21:00,491
121729,C,01/01/2015 22:00,419
121729,C,01/01/2015 23:00,249
121729,D,01/01/2015 00:00,176
121729,D,01/01/2015 01:00,423
121729,D,01/01/2015 02:00,288
121729,D,01/01/2015 03:00,187
121729,D,01/01/2015 04:00,119
121729,D,01/01/2015 05:00,132
121729,D,01/01/2015 06:00,102
121729,D,01/01/2015 07:00,106
121729,D,01/01/2015 08:00,143
121729,D,01/01/2015 09:00,168
121729,D,01/01/2015 10:00,296
121729,D,01/01/2015 11:00,532
121729,D,01/01/2015 12:00,692
121729,D,01/01/2015 13:00,568
121729,D,01/01/2015 14:00,472
121729,D,01/01/2015 15:00,679
121729,D,01/01/2015 16:00,897
121729,D,01/01/2015 17:00,1184
121729,D,01/01/2015 18:00,778
121729,D,01/01/2015 19:00,574
121729,D,01/01/2015 20:00,419
121729,D,01/01/2015 21:00,352
121729,D,01/01/2015 22:00,257
121729,D,01/01/2015 23:00,194
121730,C,01/01/2015 00:00,276
121730,C,01/01/2015 01:00,428
121730,C,01/01/2015 02:00,327
121730,C,01/01/2015 03:00,233
121730,C,01/01/2015 04:00,178
121730,C,01/01/2015 05:00,155
121730,C,01/01/2015 06:00,107
121730,C,01/01/2015 07:00,184
121730,C,01/01/2015 08:00,138
121730,C,01/01/2015 09:00,132
121730,C,01/01/2015 10:00,247
121730,C,01/01/2015 11:00,402
121730,C,01/01/2015 12:00,632
121730,C,01/01/2015 13:00,679
121730,C,01/01/2015 14:00,926
121730,C,01/01/2015 15:00,970
121730,C,01/01/2015 16:00,1043
121730,C,01/01/2015 17:00,1052
121730,C,01/01/2015 18:00,1007
121730,C,01/01/2015 19:00,804
121730,C,01/01/2015 20:00,656
121730,C,01/01/2015 21:00,608
121730,C,01/01/2015 22:00,508
121730,C,01/01/2015 23:00,307
121730,D,01/01/2015 00:00,215
121730,D,01/01/2015 01:00,528
121730,D,01/01/2015 02:00,357
121730,D,01/01/2015 03:00,248
121730,D,01/01/2015 04:00,166
121730,D,01/01/2015 05:00,174
121730,D,01/01/2015 06:00,133
121730,D,01/01/2015 07:00,135
121730,D,01/01/2015 08:00,171
121730,D,01/01/2015 09:00,193
121730,D,01/01/2015 10:00,334
121730,D,01/01/2015 11:00,617
121730,D,01/01/2015 12:00,853
121730,D,01/01/2015 13:00,696
121730,D,01/01/2015 14:00,570
121730,D,01/01/2015 15:00,759
121730,D,01/01/2015 16:00,1020
121730,D,01/01/2015 17:00,1382
121730,D,01/01/2015 18:00,921
121730,D,01/01/2015 19:00,679
121730,D,01/01/2015 20:00,454
121730,D,01/01/2015 21:00,410
121730,D,01/01/2015 22:00,301
121730,D,01/01/2015 23:00,225
121731,C,01/01/2015 00:00,1231
121731,C,01/01/2015 01:00,1693
121731,C,01/01/2015 02:00,1332
121731,C,01/01/2015 03:00,881
121731,C,01/01/2015 04:00,707
121731,C,01/01/2015 05:00,557
121731,C,01/01/2015 06:00,396
121731,C,01/01/2015 07:00,506
121731,C,01/01/2015 08:00,348
121731,C,01/01/2015 09:00,398
121731,C,01/01/2015 10:00,643
121731,C,01/01/2015 11:00,1182
121731,C,01/01/2015 12:00,1775
121731,C,01/01/2015 13:00,1785
121731,C,01/01/2015 14:00,1866
121731,C,01/01/2015 15:00,2181
121731,C,01/01/2015 16:00,2350
121731,C,01/01/2015 17:00,2471
121731,C,01/01/2015 18:00,2208
121731,C,01/01/2015 19:00,1816
121731,C,01/01/2015 20:00,1548
121731,C,01/01/2015 21:00,1471
121731,C,01/01/2015 22:00,1266
121731,C,01/01/2015 23:00,855
121731,D,01/01/2015 00:00,1014
121731,D,01/01/2015 01:00,1597
121731,D,01/01/2015 02:00,1205
121731,D,01/01/2015 03:00,885
121731,D,01/01/2015 04:00,682
121731,D,01/01/2015 05:00,558
121731,D,01/01/2015 06:00,452
121731,D,01/01/2015 07:00,431
121731,D,01/01/2015 08:00,432
121731,D,01/01/2015 09:00,405
121731,D,01/01/2015 10:00,690
121731,D,01/01/2015 11:00,1177
121731,D,01/01/2015 12:00,1881
121731,D,01/01/2015 13:00,1900
121731,D,01/01/2015 14:00,1507
121731,D,01/01/2015 15:00,1911
121731,D,01/01/2015 16:00,2570
121731,D,01/01/2015 17:00,2930
121731,D,01/01/2015 18:00,2305
121731,D,01/01/2015 19:00,1778
121731,D,01/01/2015 20:00,1408
121731,D,01/01/2015 21:00,1314
121731,D,01/01/2015 22:00,1103
121731,D,01/01/2015 23:00,810
121732,C,01/01/2015 00:00,1334
121732,C,01/01/2015 01:00,1764
121732,C,01/01/2015 02:00,1387
121732,C,01/01/2015 03:00,898
121732,C,01/01/2015 04:00,706
121732,C,01/01/2015 05:00,594
121732,C,01/01/2015 06:00,410
121732,C,01/01/2015 07:00,594
121732,C,01/01/2015 08:00,403
121732,C,01/01/2015 09:00,454
121732,C,01/01/2015 10:00,730
121732,C,01/01/2015 11:00,1318
121732,C,01/01/2015 12:00,1952
121732,C,01/01/2015 13:00,1911
121732,C,01/01/2015 14:00,1525
121732,C,01/01/2015 15:00,2063
121732,C,01/01/2015 16:00,2523
121732,C,01/01/2015 17:00,3068
121732,C,01/01/2015 18:00,2308
121732,C,01/01/2015 19:00,1932
121732,C,01/01/2015 20:00,1618
121732,C,01/01/2015 21:00,1599
121732,C,01/01/2015 22:00,1350
121732,C,01/01/2015 23:00,948
121732,D,01/01/2015 00:00,1026
121732,D,01/01/2015 01:00,1622
121732,D,01/01/2015 02:00,1254
121732,D,01/01/2015 03:00,932
121732,D,01/01/2015 04:00,752
121732,D,01/01/2015 05:00,598
121732,D,01/01/2015 06:00,470
121732,D,01/01/2015 07:00,461
121732,D,01/01/2015 08:00,456
121732,D,01/01/2015 09:00,428
121732,D,01/01/2015 10:00,690
