id,EQUIPMENTID,LANE_BUNDLE_DIRECTION,WEEK_DAY,HOUR,TOTAL_VOLUME
26,121725,C,Fri,8,2917.4615384615386
26,121725,D,Fri,8,2035.8461538461538
25,121726,C,Fri,8,3737.25
25,121726,D,Fri,8,3805.3333333333335
24,121727,C,Fri,8,3698.153846153846
24,121727,D,Fri,8,2849.6923076923076
1,121729,C,Fri,8,1810.6923076923076
1,121729,D,Fri,8,1354.6153846153845
2,121730,C,Fri,8,2234.769230769231
2,121730,D,Fri,8,1768.5384615384614
5,121731,C,Fri,8,4274.923076923077
5,121731,D,Fri,8,4016.769230769231
6,121732,C,Fri,8,4945.076923076923
6,121732,D,Fri,8,4025.769230769231
7,121733,C,Fri,8,5521.153846153846
7,121733,D,Fri,8,4847.384615384615
8,121734,C,Fri,8,6871.461538461538
8,121734,D,Fri,8,4798.461538461538
9,121735,C,Fri,8,5959.2307692307695
9,121735,D,Fri,8,4666.384615384615
10,121736,C,Fri,8,1228.2307692307693
10,121736,D,Fri,8,1287.076923076923
3,121737,C,Fri,8,2951.6153846153848
3,121737,D,Fri,8,2496.6153846153848
4,121738,C,Fri,8,3156.846153846154
4,121738,D,Fri,8,2488.5384615384614
11,121741,C,Fri,8,3845.230769230769
11,121741,D,Fri,8,4059.846153846154
12,121742,C,Fri,8,4886.461538461538
12,121742,D,Fri,8,5265.461538461538
23,121744,C,Fri,8,3354.3846153846152
23,121744,D,Fri,8,3214.6153846153848
22,121745,C,Fri,8,3738.3846153846152
22,121745,D,Fri,8,3880.153846153846
14,121746,C,Fri,8,1440.7692307692307
14,121746,D,Fri,8,2344.769230769231
15,121749,C,Fri,8,2378.6153846153848
15,121749,D,Fri,8,0.0
16,121750,C,Fri,8,1249.2307692307693
16,121750,D,Fri,8,2851.153846153846
17,121751,C,Fri,8,948.4615384615385
17,121751,D,Fri,8,2084.3076923076924
18,121752,C,Fri,8,620.8461538461538
18,121752,D,Fri,8,1549.076923076923
19,121754,C,Fri,8,2647.923076923077
19,121754,D,Fri,8,2641.153846153846
20,121755,C,Fri,8,2254.230769230769
20,121755,D,Fri,8,2362.846153846154
21,121756,C,Fri,8,2419.153846153846
21,121756,D,Fri,8,2415.3076923076924
124680,C,Fri,8,441.3076923076923
124680,D,Fri,8,445.15384615384613
