id,EQUIPMENTID,LANE_BUNDLE_DIRECTION,WEEK_DAY,HOUR,TOTAL_VOLUME
26,121725,C,Mon,8,2992.3846153846152
26,121725,D,Mon,8,2176.0
25,121726,C,Mon,8,3040.846153846154
25,121726,D,Mon,8,3295.0
24,121727,C,Mon,8,3979.230769230769
24,121727,D,Mon,8,3175.3076923076924
1,121729,C,Mon,8,2017.2307692307693
1,121729,D,Mon,8,1506.6153846153845
2,121730,C,Mon,8,2455.6153846153848
2,121730,D,Mon,8,1931.2307692307693
5,121731,C,Mon,8,3965.6923076923076
5,121731,D,Mon,8,4049.5384615384614
6,121732,C,Mon,8,4604.384615384615
6,121732,D,Mon,8,4096.615384615385
7,121733,C,Mon,8,5187.7692307692305
7,121733,D,Mon,8,4873.692307692308
8,121734,C,Mon,8,6461.615384615385
8,121734,D,Mon,8,4843.0
9,121735,C,Mon,8,6069.0
9,121735,D,Mon,8,5085.846153846154
10,121736,C,Mon,8,3340.3846153846152
10,121736,D,Mon,8,3568.153846153846
3,121737,C,Mon,8,2998.076923076923
3,121737,D,Mon,8,2671.6923076923076
4,121738,C,Mon,8,3134.153846153846
4,121738,D,Mon,8,2639.846153846154
11,121741,C,Mon,8,3794.5384615384614
11,121742,C,Mon,8,4817.846153846154
12,121742,D,Mon,8,5274.615384615385
23,121744,C,Mon,8,3348.4615384615386
23,121744,D,Mon,8,3274.6923076923076
22,121745,C,Mon,8,3708.5384615384614
22,121745,D,Mon,8,3956.153846153846
14,121746,C,Mon,8,1482.6923076923076
14,121746,D,Mon,8,2475.6923076923076
15,121749,C,Mon,8,2727.846153846154
15,121749,D,Mon,8,0.0
16,121750,C,Mon,8,1222.6923076923076
16,121750,D,Mon,8,2953.6923076923076
17,121751,C,Mon,8,850.6153846153846
17,121751,D,Mon,8,1994.076923076923
18,121752,C,Mon,8,658.3846153846154
18,121752,D,Mon,8,1725.2307692307693
19,121754,C,Mon,8,2660.4615384615386
19,121754,D,Mon,8,2686.846153846154
20,121755,C,Mon,8,2266.3846153846152
20,121755,D,Mon,8,2360.6153846153848
21,121756,C,Mon,8,2409.153846153846
21,121756,D,Mon,8,2401.6923076923076
124680,C,Mon,8,471.38461538461536
124680,D,Mon,8,526.7692307692307
