EQUIPMENTID,LANE_BUNDLE_DIRECTION,WEEK_DAY,HOUR,TOTAL_VOLUME
121725,C,Thu,8,2835.846153846154
121725,D,Thu,8,2115.3846153846152
121726,C,Thu,8,3739.5
121726,D,Thu,8,4087.3333333333335
121727,C,Thu,8,3458.923076923077
121727,D,Thu,8,2809.923076923077
121729,C,Thu,8,1771.4615384615386
121729,D,Thu,8,1387.5384615384614
121730,C,Thu,8,2164.4615384615386
121730,D,Thu,8,1808.923076923077
121731,C,Thu,8,4023.769230769231
121731,D,Thu,8,3896.923076923077
121732,C,Thu,8,4590.307692307692
121732,D,Thu,8,3859.153846153846
121733,C,Thu,8,5148.461538461538
121733,D,Thu,8,4592.2307692307695
121734,C,Thu,8,6312.7692307692305
121734,D,Thu,8,4723.846153846154
121735,C,Thu,8,5472.923076923077
121735,D,Thu,8,4512.923076923077
121736,C,Thu,8,3525.4615384615386
121736,D,Thu,8,3699.076923076923
121737,C,Thu,8,2810.923076923077
121737,D,Thu,8,2490.846153846154
121738,C,Thu,8,3019.4615384615386
121738,D,Thu,8,2484.923076923077
121741,C,Thu,8,3664.923076923077
121741,D,Thu,8,4037.3076923076924
121742,C,Thu,8,4668.538461538462
121742,D,Thu,8,5066.692307692308
121744,C,Thu,8,3195.846153846154
121744,D,Thu,8,3052.153846153846
121745,C,Thu,8,3551.5384615384614
121745,D,Thu,8,3647.230769230769
121746,C,Thu,8,1407.076923076923
121746,D,Thu,8,2264.5384615384614
121749,C,Thu,8,2269.6923076923076
121749,D,Thu,8,0.0
121750,C,Thu,8,1247.3846153846155
121750,D,Thu,8,2765.4615384615386
121751,C,Thu,8,956.0769230769231
121751,D,Thu,8,2036.6153846153845
121752,C,Thu,8,547.9230769230769
121752,D,Thu,8,1376.076923076923
121754,C,Thu,8,2578.076923076923
121754,D,Thu,8,2597.923076923077
121755,C,Thu,8,2209.6153846153848
121755,D,Thu,8,2286.846153846154
121756,C,Thu,8,2356.230769230769
121756,D,Thu,8,2308.923076923077
124680,C,Thu,8,431.84615384615387
124680,D,Thu,8,450.53846153846155
