EQUIPMENTID,LANE_BUNDLE_DIRECTION,WEEK_DAY,HOUR,TOTAL_VOLUME
121725,C,Fri,0,355.2307692307692
121725,C,Fri,1,183.15384615384616
121725,C,Fri,2,118.92307692307692
121725,C,Fri,3,118.38461538461539
121725,C,Fri,4,165.07692307692307
121725,C,Fri,5,275.61538461538464
121725,C,Fri,6,554.2307692307693
121725,C,Fri,7,2068.0
121725,C,Fri,8,2917.4615384615386
121725,C,Fri,9,2301.846153846154
121725,C,Fri,10,1977.1538461538462
121725,C,Fri,11,1804.2307692307693
121725,C,Fri,12,1824.923076923077
121725,C,Fri,13,1954.6923076923076
121725,C,Fri,14,2156.153846153846
121725,C,Fri,15,2051.0
121725,C,Fri,16,2139.3076923076924
121725,C,Fri,17,2363.3076923076924
121725,C,Fri,18,2496.846153846154
121725,C,Fri,19,2227.230769230769
121725,C,Fri,20,2013.6923076923076
121725,C,Fri,21,1541.3076923076924
121725,C,Fri,22,1103.2307692307693
121725,C,Fri,23,798.6153846153846
121725,C,Mon,0,309.53846153846155
121725,C,Mon,1,156.23076923076923
121725,C,Mon,2,89.92307692307692
121725,C,Mon,3,78.76923076923077
121725,C,Mon,4,135.76923076923077
121725,C,Mon,5,231.76923076923077
121725,C,Mon,6,515.7692307692307
121725,C,Mon,7,2150.6153846153848
121725,C,Mon,8,2992.3846153846152
121725,C,Mon,9,2315.230769230769
121725,C,Mon,10,1936.6923076923076
121725,C,Mon,11,1720.8461538461538
121725,C,Mon,12,1748.6923076923076
121725,C,Mon,13,1876.1538461538462
121725,C,Mon,14,2212.230769230769
121725,C,Mon,15,1987.076923076923
121725,C,Mon,16,1945.076923076923
121725,C,Mon,17,2201.076923076923
121725,C,Mon,18,2406.3846153846152
121725,C,Mon,19,2029.076923076923
121725,C,Mon,20,1537.6153846153845
121725,C,Mon,21,1075.1538461538462
121725,C,Mon,22,731.6153846153846
121725,C,Mon,23,484.46153846153845
121725,C,Thu,0,361.38461538461536
121725,C,Thu,1,242.84615384615384
121725,C,Thu,2,158.46153846153845
121725,C,Thu,3,152.76923076923077
121725,C,Thu,4,185.07692307692307
121725,C,Thu,5,258.7692307692308
121725,C,Thu,6,522.3076923076923
121725,C,Thu,7,2022.4615384615386
121725,C,Thu,8,2835.846153846154
121725,C,Thu,9,2081.846153846154
121725,C,Thu,10,1737.2307692307693
121725,C,Thu,11,1582.8461538461538
121725,C,Thu,12,1671.6923076923076
121725,C,Thu,13,1770.4615384615386
121725,C,Thu,14,2019.6153846153845
121725,C,Thu,15,1920.8461538461538
121725,C,Thu,16,1915.8461538461538
121725,C,Thu,17,2136.6923076923076
121725,C,Thu,18,2366.846153846154
121725,C,Thu,19,2069.4615384615386
121725,C,Thu,20,1635.4615384615386
121725,C,Thu,21,1173.7692307692307
121725,C,Thu,22,811.9230769230769
121725,C,Thu,23,556.0
121725,C,Tue,0,312.0769230769231
121725,C,Tue,1,162.30769230769232
121725,C,Tue,2,103.84615384615384
121725,C,Tue,3,119.6923076923077
121725,C,Tue,4,176.84615384615384
121725,C,Tue,5,256.84615384615387
121725,C,Tue,6,501.53846153846155
121725,C,Tue,7,2061.153846153846
