EQUIPMENTID,LANE_BUNDLE_DIRECTION,AGG_PERIOD_START,TOTAL_VOLUME
121725,C,2015-01-01 00:00:00,650
121725,C,2015-01-01 01:00:00,1027
121725,C,2015-01-01 02:00:00,733
121725,C,2015-01-01 03:00:00,528
121725,C,2015-01-01 04:00:00,419
121725,C,2015-01-01 05:00:00,288
121725,C,2015-01-01 06:00:00,232
121725,C,2015-01-01 07:00:00,295
121725,C,2015-01-01 08:00:00,222
121725,C,2015-01-01 09:00:00,220
121725,C,2015-01-01 10:00:00,368
121725,C,2015-01-01 11:00:00,597
121725,C,2015-01-01 12:00:00,1011
121725,C,2015-01-01 13:00:00,1101
121725,C,2015-01-01 14:00:00,1003
121725,C,2015-01-01 15:00:00,1340
121725,C,2015-01-01 16:00:00,1341
121725,C,2015-01-01 17:00:00,1317
121725,C,2015-01-01 18:00:00,1209
121725,C,2015-01-01 19:00:00,1054
121725,C,2015-01-01 20:00:00,989
121725,C,2015-01-01 21:00:00,944
121725,C,2015-01-01 22:00:00,748
121725,C,2015-01-01 23:00:00,519
121725,C,2015-01-02 00:00:00,274
121725,C,2015-01-02 01:00:00,172
121725,C,2015-01-02 02:00:00,109
121725,C,2015-01-02 03:00:00,77
121725,C,2015-01-02 04:00:00,135
121725,C,2015-01-02 05:00:00,212
121725,C,2015-01-02 06:00:00,393
121725,C,2015-01-02 07:00:00,1175
121725,C,2015-01-02 08:00:00,1740
121725,C,2015-01-02 09:00:00,1837
121725,C,2015-01-02 10:00:00,2156
121725,C,2015-01-02 11:00:00,2099
121725,C,2015-01-02 12:00:00,1984
121725,C,2015-01-02 13:00:00,2093
121725,C,2015-01-02 14:00:00,2726
121725,C,2015-01-02 15:00:00,2950
121725,C,2015-01-02 16:00:00,2534
121725,C,2015-01-02 17:00:00,2263
121725,C,2015-01-02 18:00:00,2204
121725,C,2015-01-02 19:00:00,2064
121725,C,2015-01-02 20:00:00,1779
121725,C,2015-01-02 21:00:00,1357
121725,C,2015-01-02 22:00:00,927
121725,C,2015-01-02 23:00:00,655
121725,C,2015-01-03 00:00:00,0
121725,C,2015-01-03 01:00:00,0
121725,C,2015-01-03 02:00:00,0
121725,C,2015-01-03 03:00:00,0
121725,C,2015-01-03 04:00:00,0
121725,C,2015-01-03 05:00:00,0
121725,C,2015-01-03 06:00:00,0
121725,C,2015-01-03 07:00:00,0
121725,C,2015-01-03 08:00:00,0
121725,C,2015-01-03 09:00:00,0
121725,C,2015-01-03 10:00:00,0
121725,C,2015-01-03 11:00:00,0
121725,C,2015-01-03 12:00:00,0
121725,C,2015-01-03 13:00:00,0
121725,C,2015-01-03 14:00:00,0
121725,C,2015-01-03 15:00:00,0
121725,C,2015-01-03 16:00:00,0
121725,C,2015-01-03 17:00:00,0
121725,C,2015-01-03 18:00:00,0
121725,C,2015-01-03 19:00:00,0
121725,C,2015-01-03 20:00:00,0
121725,C,2015-01-03 21:00:00,0
121725,C,2015-01-03 22:00:00,0
121725,C,2015-01-03 23:00:00,0
121725,C,2015-01-04 00:00:00,0
121725,C,2015-01-04 01:00:00,0
121725,C,2015-01-04 02:00:00,0
121725,C,2015-01-04 03:00:00,0
121725,C,2015-01-04 04:00:00,0
121725,C,2015-01-04 05:00:00,0
121725,C,2015-01-04 06:00:00,0
121725,C,2015-01-04 07:00:00,0
121725,C,2015-01-04 08:00:00,0
121725,C,2015-01-04 09:00:00,0
121725,C,2015-01-04 10:00:00,0
121725,C,2015-01-04 11:00:00,0
121725,C,2015-01-04 12:00:00,0
121725,C,2015-01-04 13:00:00,0
121725,C,2015-01-04 14:00:00,0
121725,C,2015-01-04 15:00:00,0
121725,C,2015-01-04 16:00:00,0
121725,C,2015-01-04 17:00:00,0
121725,C,2015-01-04 18:00:00,0
121725,C,2015-01-04 19:00:00,0
121725,C,2015-01-04 20:00:00,0
121725,C,2015-01-04 21:00:00,0
121725,C,2015-01-04 22:00:00,0
121725,C,2015-01-04 23:00:00,0
121725,C,2015-01-05 00:00:00,279
121725,C,2015-01-05 01:00:00,174
121725,C,2015-01-05 02:00:00,93
121725,C,2015-01-05 03:00:00,70
121725,C,2015-01-05 04:00:00,133
121725,C,2015-01-05 05:00:00,204
121725,C,2015-01-05 06:00:00,517
121725,C,2015-01-05 07:00:00,2344
121725,C,2015-01-05 08:00:00,3112
121725,C,2015-01-05 09:00:00,2122
121725,C,2015-01-05 10:00:00,1934
121725,C,2015-01-05 11:00:00,1680
121725,C,2015-01-05 12:00:00,1764
121725,C,2015-01-05 13:00:00,1968
121725,C,2015-01-05 14:00:00,2280
121725,C,2015-01-05 15:00:00,1970
121725,C,2015-01-05 16:00:00,2025
121725,C,2015-01-05 17:00:00,2188
121725,C,2015-01-05 18:00:00,2485
121725,C,2015-01-05 19:00:00,1949
121725,C,2015-01-05 20:00:00,1467
121725,C,2015-01-05 21:00:00,1045
121725,C,2015-01-05 22:00:00,677
121725,C,2015-01-05 23:00:00,531
121725,C,2015-01-06 00:00:00,314
121725,C,2015-01-06 01:00:00,133
121725,C,2015-01-06 02:00:00,97
121725,C,2015-01-06 03:00:00,111
121725,C,2015-01-06 04:00:00,164
121725,C,2015-01-06 05:00:00,244
121725,C,2015-01-06 06:00:00,500
121725,C,2015-01-06 07:00:00,2241
121725,C,2015-01-06 08:00:00,3103
121725,C,2015-01-06 09:00:00,2184
121725,C,2015-01-06 10:00:00,1939
121725,C,2015-01-06 11:00:00,1638
121725,C,2015-01-06 12:00:00,1715
121725,C,2015-01-06 13:00:00,1931
121725,C,2015-01-06 14:00:00,2186
121725,C,2015-01-06 15:00:00,1966
121725,C,2015-01-06 16:00:00,1956
121725,C,2015-01-06 17:00:00,2249
121725,C,2015-01-06 18:00:00,2519
121725,C,2015-01-06 19:00:00,1978
121725,C,2015-01-06 20:00:00,1545
121725,C,2015-01-06 21:00:00,1074
121725,C,2015-01-06 22:00:00,735
121725,C,2015-01-06 23:00:00,568
121725,C,2015-01-07 00:00:00,360
121725,C,2015-01-07 01:00:00,147
121725,C,2015-01-07 02:00:00,96
121725,C,2015-01-07 03:00:00,105
121725,C,2015-01-07 04:00:00,171
121725,C,2015-01-07 05:00:00,236
121725,C,2015-01-07 06:00:00,490
121725,C,2015-01-07 07:00:00,2209
121725,C,2015-01-07 08:00:00,3087
121725,C,2015-01-07 09:00:00,2216
121725,C,2015-01-07 10:00:00,1898
121725,C,2015-01-07 11:00:00,1678
121725,C,2015-01-07 12:00:00,1712
121725,C,2015-01-07 13:00:00,1908
121725,C,2015-01-07 14:00:00,2188
121725,C,2015-01-07 15:00:00,2045
121725,C,2015-01-07 16:00:00,1977
121725,C,2015-01-07 17:00:00,2221
121725,C,2015-01-07 18:00:00,2362
121725,C,2015-01-07 19:00:00,2160
121725,C,2015-01-07 20:00:00,1550
121725,C,2015-01-07 21:00:00,1160
121725,C,2015-01-07 22:00:00,796
121725,C,2015-01-07 23:00:00,517
121725,C,2015-01-08 00:00:00,326
121725,C,2015-01-08 01:00:00,175
