,EQUIPMENTID,LANE_BUNDLE_DIRECTION,AGG_PERIOD_START,TOTAL_VOLUME
0,177,C,01/01/2015 00:00,650
1,177,C,01/01/2015 01:00,1027
2,177,C,01/01/2015 02:00,733
3,177,C,01/01/2015 03:00,528
4,177,C,01/01/2015 04:00,419
5,177,C,01/01/2015 05:00,288
6,177,C,01/01/2015 06:00,232
7,177,C,01/01/2015 07:00,295
8,177,C,01/01/2015 08:00,222
9,177,C,01/01/2015 09:00,220
10,177,C,01/01/2015 10:00,368
11,177,C,01/01/2015 11:00,597
12,177,C,01/01/2015 12:00,1011
13,177,C,01/01/2015 13:00,1101
14,177,C,01/01/2015 14:00,1003
15,177,C,01/01/2015 15:00,1340
16,177,C,01/01/2015 16:00,1341
17,177,C,01/01/2015 17:00,1317
18,177,C,01/01/2015 18:00,1209
19,177,C,01/01/2015 19:00,1054
20,177,C,01/01/2015 20:00,989
21,177,C,01/01/2015 21:00,944
22,177,C,01/01/2015 22:00,748
23,177,C,01/01/2015 23:00,519
24,177,D,01/01/2015 00:00,596
25,177,D,01/01/2015 01:00,972
26,177,D,01/01/2015 02:00,729
27,177,D,01/01/2015 03:00,568
28,177,D,01/01/2015 04:00,439
29,177,D,01/01/2015 05:00,385
30,177,D,01/01/2015 06:00,286
31,177,D,01/01/2015 07:00,302
32,177,D,01/01/2015 08:00,287
33,177,D,01/01/2015 09:00,323
34,177,D,01/01/2015 10:00,456
35,177,D,01/01/2015 11:00,801
36,177,D,01/01/2015 12:00,1346
37,177,D,01/01/2015 13:00,1164
38,177,D,01/01/2015 14:00,896
39,177,D,01/01/2015 15:00,1068
40,177,D,01/01/2015 16:00,1408
41,177,D,01/01/2015 17:00,1490
42,177,D,01/01/2015 18:00,1468
43,177,D,01/01/2015 19:00,1127
44,177,D,01/01/2015 20:00,826
45,177,D,01/01/2015 21:00,821
46,177,D,01/01/2015 22:00,714
47,177,D,01/01/2015 23:00,539
48,179,C,01/01/2015 00:00,1043
49,179,C,01/01/2015 01:00,1835
50,179,C,01/01/2015 02:00,1224
51,179,C,01/01/2015 03:00,923
52,179,C,01/01/2015 04:00,756
53,179,C,01/01/2015 05:00,511
54,179,C,01/01/2015 06:00,404
55,179,C,01/01/2015 07:00,523
56,179,C,01/01/2015 08:00,373
57,179,C,01/01/2015 09:00,403
58,179,C,01/01/2015 10:00,620
59,179,C,01/01/2015 11:00,1026
60,179,C,01/01/2015 12:00,1731
61,179,C,01/01/2015 13:00,2037
62,179,C,01/01/2015 14:00,1537
63,179,C,01/01/2015 15:00,2030
64,179,C,01/01/2015 16:00,2359
65,179,C,01/01/2015 17:00,2418
66,179,C,01/01/2015 18:00,2171
67,179,C,01/01/2015 19:00,1805
68,179,C,01/01/2015 20:00,1579
69,179,C,01/01/2015 21:00,1541
70,179,C,01/01/2015 22:00,1219
71,179,C,01/01/2015 23:00,860
72,179,D,01/01/2015 00:00,1098
73,179,D,01/01/2015 01:00,1888
74,179,D,01/01/2015 02:00,1465
75,179,D,01/01/2015 03:00,1080
76,179,D,01/01/2015 04:00,846
77,179,D,01/01/2015 05:00,676
78,179,D,01/01/2015 06:00,541
79,179,D,01/01/2015 07:00,486
80,179,D,01/01/2015 08:00,474
81,179,D,01/01/2015 09:00,477
82,179,D,01/01/2015 10:00,637
83,179,D,01/01/2015 11:00,1168
84,179,D,01/01/2015 12:00,1923
85,179,D,01/01/2015 13:00,1888
86,179,D,01/01/2015 14:00,1496
87,179,D,01/01/2015 15:00,1827
88,179,D,01/01/2015 16:00,2319
89,179,D,01/01/2015 17:00,2338
90,179,D,01/01/2015 18:00,2279
91,179,D,01/01/2015 19:00,1876
92,179,D,01/01/2015 20:00,1547
93,179,D,01/01/2015 21:00,1397
94,179,D,01/01/2015 22:00,1252
95,179,D,01/01/2015 23:00,960
96,165,C,01/01/2015 00:00,221
97,165,C,01/01/2015 01:00,314
98,165,C,01/01/2015 02:00,246
99,165,C,01/01/2015 03:00,193
100,165,C,01/01/2015 04:00,146
101,165,C,01/01/2015 05:00,114
102,165,C,01/01/2015 06:00,80
103,165,C,01/01/2015 07:00,138
104,165,C,01/01/2015 08:00,113
105,165,C,01/01/2015 09:00,110
106,165,C,01/01/2015 10:00,205
107,165,C,01/01/2015 11:00,335
108,165,C,01/01/2015 12:00,564
109,165,C,01/01/2015 13:00,576
110,165,C,01/01/2015 14:00,737
111,165,C,01/01/2015 15:00,766
112,165,C,01/01/2015 16:00,869
113,165,C,01/01/2015 17:00,845
114,165,C,01/01/2015 18:00,812
115,165,C,01/01/2015 19:00,667
116,165,C,01/01/2015 20:00,530
117,165,C,01/01/2015 21:00,491
118,165,C,01/01/2015 22:00,419
119,165,C,01/01/2015 23:00,249
120,165,D,01/01/2015 00:00,176
121,165,D,01/01/2015 01:00,423
122,165,D,01/01/2015 02:00,288
123,165,D,01/01/2015 03:00,187
124,165,D,01/01/2015 04:00,119
125,165,D,01/01/2015 05:00,132
126,165,D,01/01/2015 06:00,102
127,165,D,01/01/2015 07:00,106
128,165,D,01/01/2015 08:00,143
129,165,D,01/01/2015 09:00,168
130,165,D,01/01/2015 10:00,296
131,165,D,01/01/2015 11:00,532
132,165,D,01/01/2015 12:00,692
133,165,D,01/01/2015 13:00,568
134,165,D,01/01/2015 14:00,472
135,165,D,01/01/2015 15:00,679
136,165,D,01/01/2015 16:00,897
137,165,D,01/01/2015 17:00,1184
138,165,D,01/01/2015 18:00,778
139,165,D,01/01/2015 19:00,574
140,165,D,01/01/2015 20:00,419
141,165,D,01/01/2015 21:00,352
142,165,D,01/01/2015 22:00,257
143,165,D,01/01/2015 23:00,194
144,165,C,01/01/2015 00:00,276
145,165,C,01/01/2015 01:00,428
146,165,C,01/01/2015 02:00,327
147,165,C,01/01/2015 03:00,233
148,165,C,01/01/2015 04:00,178
149,165,C,01/01/2015 05:00,155
150,165,C,01/01/2015 06:00,107
151,165,C,01/01/2015 07:00,184
152,165,C,01/01/2015 08:00,138
153,165,C,01/01/2015 09:00,132
154,165,C,01/01/2015 10:00,247
155,165,C,01/01/2015 11:00,402
156,165,C,01/01/2015 12:00,632
157,165,C,01/01/2015 13:00,679
158,165,C,01/01/2015 14:00,926
159,165,C,01/01/2015 15:00,970
160,165,C,01/01/2015 16:00,1043
161,165,C,01/01/2015 17:00,1052
162,165,C,01/01/2015 18:00,1007
163,165,C,01/01/2015 19:00,804
164,165,C,01/01/2015 20:00,656
165,165,C,01/01/2015 21:00,608
166,165,C,01/01/2015 22:00,508
167,165,C,01/01/2015 23:00,307
168,165,D,01/01/2015 00:00,215
169,165,D,01/01/2015 01:00,528
170,165,D,01/01/2015 02:00,357
171,165,D,01/01/2015 03:00,248
172,165,D,01/01/2015 04:00,166
173,165,D,01/01/2015 05:00,174
174,165,D,01/01/2015 06:00,133
175,165,D,01/01/2015 07:00,135
176,165,D,01/01/2015 08:00,171
177,165,D,01/01/2015 09:00,193
178,165,D,01/01/2015 10:00,334
179,165,D,01/01/2015 11:00,617
180,165,D,01/01/2015 12:00,853
181,165,D,01/01/2015 13:00,696
182,165,D,01/01/2015 14:00,570
183,165,D,01/01/2015 15:00,759
184,165,D,01/01/2015 16:00,1020
185,165,D,01/01/2015 17:00,1382
186,165,D,01/01/2015 18:00,921
187,165,D,01/01/2015 19:00,679
188,165,D,01/01/2015 20:00,454
189,165,D,01/01/2015 21:00,410
190,165,D,01/01/2015 22:00,301
191,165,D,01/01/2015 23:00,225
192,169,C,01/01/2015 00:00,1231
193,169,C,01/01/2015 01:00,1693
194,169,C,01/01/2015 02:00,1332
195,169,C,01/01/2015 03:00,881
196,169,C,01/01/2015 04:00,707
197,169,C,01/01/2015 05:00,557
198,169,C,01/01/2015 06:00,396
199,169,C,01/01/2015 07:00,506
200,169,C,01/01/2015 08:00,348
201,169,C,01/01/2015 09:00,398
202,169,C,01/01/2015 10:00,643
203,169,C,01/01/2015 11:00,1182
204,169,C,01/01/2015 12:00,1775
