EQUIPMENTID,description,latitude,longitude,description2,roadsectionId,,,
121725,AEDL - A1 297+975 CT3687,"4,111,113","-8,608,549",Santo Ovideo - A44/A29,177,,,26
121726,AEDL - A1 300+250 CT3688,"4,112,538","-8,635,809",A44/A29 - Canidelo,178,,,25
121727,AEDL - A1 300+920 CT3689,"4,112,975","-8,635,617",Canidelo - Afurada,179,,,24
121729,AEDL - A20 0+650 CT3683,"4,107,731","-8,577,477",Carvalhos - Canelas,165,,,1
121730,AEDL - A20 1+930 CT3684,"4,108,205","-8,575,104",Carvalhos - Canelas,165,,,2
121737,AEDL - A20 2+600 CT3721,"4,109,138","-8,574,559",Canelas - Avintes(N222),166,,,3
121738,AEDL - A20 6+410 CT3686,"4,112,471","-857,349",Avintes(N222) - Oliveira do Douro(A44),167,,,4
121731,AEDL - A20 10+150 CT3705,"4,115,455","-858,269",Freixo(A43) - Mercado Abastecedor,169,,,5
121732,AEDL - A20 11+600 CT3707,"4,116,678","-8,585,455",Mercado Abastecedor - Antas,170,,,6
121733,AEDL - A20 12+325 CT3708,"4,117,043","-8,592,237",Antas - A3,171,,,7
121734,AEDL - A20 12+980 CT3710,"4,117,136","-8,599,315",A3 - Paranhos,172,,,8
121735,AEDL - A20 13+890 CT3711,"411,724","-8,606,449",Paranhos - Amial,173,,,9
121736,AEDL - A20 15+850 CT3709,"411,721","-8,632,161",N14/Circunvala��o - Boavista,175,,,10
121741,AEDL - A28 1+050 CT3744,"4,115,733","-8,646,378",Campo Alegre - Boavista,192,,,11
121742,AEDL - A28 1+850 CT3745,"4,116,396","-8,648,117",Boavista - Rotunda AEP,193,,,12
121743,AEDL - A28 4+950 CT3702,"4,118,264","-8,661,078",Rotunda AEP - Senhora da Hora,194,,,13
121746,AEDL - A43 1+280 CT3690,"4,115,208","-8,574,777",Campanh� - Mercado Abastecedor,186,,,14
121749,AEDL - A43 2+150 CT3691,"4,115,827","-8,567,406",Mercado Abastecedor - Areosa,187,,,15
121750,AEDL - A43 3+100 CT3692,"4,115,524","-8,556,818",Areosa - Valbom,188,,,16
121751,AEDL - A43 4+750 CT3693,"4,115,524","-8,556,818",Areosa - Valbom,188,,,17
121752,AEDL - A43 6+450 CT3694,"411,352","-8,537,397",Valbom - Gondomar,189,,,18
121754,AEDL - A44 5+160 CT3680,"4,112,202","-8,615,691",Coimbr�es - Av. Da Rep�blica,182,,,19
121755,AEDL - A44 6+425 CT3681,"4,112,549","-860,651",Av. Da Rep�blica - Gaia (centro),183,,,20
121756,AEDL - A44 7+700 CT3682,"411,312","-8,589,719",Gaia (centro) - Pte. Freixo (A20),184,,,21
121745,AEDL - N14 0+400 CT3703,"4,117,749","-862,232",Circunvala��o (A20) - Areosa/Monte Burgos,163,,,22
121744,AEDL - N14 1+650 CT3704,"4,118,872","-8,625,984",Areosa/Monte Burgos - Le�a do Balio,161,,,23
